Em casa,Visitante,Classe
Frosinone,Napoli,2.0
Empoli,Hellas Verona,2.0
Inter,Monza,1.0
Genoa,Fiorentina,2.0
Sassuolo,Atalanta,2.0
Roma,Salernitana,0.0
Lecce,Lazio,1.0
Udinese,Juventus,2.0
Torino,Cagliari,0.0
Bologna,Milan,2.0
Frosinone,Atalanta,1.0
Monza,Empoli,1.0
Hellas Verona,Roma,1.0
Milan,Torino,1.0
Juventus,Bologna,0.0
Fiorentina,Lecce,0.0
Napoli,Sassuolo,1.0
Lazio,Genoa,2.0
Salernitana,Udinese,0.0
Cagliari,Inter,2.0
Sassuolo,Hellas Verona,1.0
Roma,Milan,2.0
Bologna,Cagliari,1.0
Udinese,Frosinone,0.0
Napoli,Lazio,2.0
Atalanta,Monza,1.0
Torino,Genoa,1.0
Inter,Fiorentina,1.0
Lecce,Salernitana,1.0
Empoli,Juventus,2.0
Juventus,Lazio,1.0
Inter,Milan,1.0
Genoa,Napoli,0.0
Cagliari,Udinese,0.0
Monza,Lecce,0.0
Frosinone,Sassuolo,1.0
Fiorentina,Atalanta,1.0
Roma,Empoli,1.0
Salernitana,Torino,2.0
Hellas Verona,Bologna,0.0
Salernitana,Frosinone,0.0
Lecce,Genoa,1.0
Milan,Hellas Verona,1.0
Sassuolo,Juventus,1.0
Lazio,Monza,0.0
Empoli,Inter,2.0
Atalanta,Cagliari,1.0
Udinese,Fiorentina,2.0
Bologna,Napoli,0.0
Torino,Roma,0.0
Juventus,Lecce,1.0
Hellas Verona,Atalanta,2.0
Empoli,Salernitana,1.0
Cagliari,Milan,2.0
Napoli,Udinese,1.0
Lazio,Torino,1.0
Inter,Sassuolo,2.0
Monza,Bologna,0.0
Frosinone,Fiorentina,0.0
Genoa,Roma,1.0
Lecce,Napoli,2.0
Milan,Lazio,1.0
Salernitana,Inter,2.0
Bologna,Empoli,1.0
Udinese,Genoa,0.0
Atalanta,Juventus,0.0
Roma,Frosinone,1.0
Sassuolo,Monza,2.0
Torino,Hellas Verona,0.0
Fiorentina,Cagliari,1.0
Empoli,Udinese,0.0
Lecce,Sassuolo,0.0
Inter,Bologna,0.0
Juventus,Torino,1.0
Genoa,Milan,2.0
Monza,Salernitana,1.0
Lazio,Atalanta,1.0
Frosinone,Hellas Verona,1.0
Cagliari,Roma,2.0
Napoli,Fiorentina,2.0
Hellas Verona,Napoli,2.0
Torino,Inter,2.0
Sassuolo,Lazio,2.0
Roma,Monza,1.0
Bologna,Frosinone,1.0
Salernitana,Cagliari,0.0
Atalanta,Genoa,1.0
Milan,Juventus,2.0
Udinese,Lecce,0.0
Fiorentina,Empoli,2.0
Genoa,Salernitana,1.0
Sassuolo,Bologna,0.0
Lecce,Torino,2.0
Juventus,Hellas Verona,1.0
Cagliari,Frosinone,1.0
Monza,Udinese,0.0
Inter,Roma,1.0
Napoli,Milan,0.0
Empoli,Atalanta,2.0
Lazio,Fiorentina,1.0
Bologna,Lazio,1.0
Salernitana,Napoli,2.0
Atalanta,Inter,2.0
Milan,Udinese,2.0
Hellas Verona,Monza,2.0
Cagliari,Genoa,1.0
Roma,Lecce,1.0
Fiorentina,Juventus,2.0
Frosinone,Empoli,1.0
Torino,Sassuolo,1.0
Sassuolo,Salernitana,0.0
Genoa,Hellas Verona,1.0
Lecce,Milan,0.0
Juventus,Cagliari,1.0
Monza,Torino,0.0
Napoli,Empoli,2.0
Fiorentina,Bologna,1.0
Udinese,Atalanta,0.0
Lazio,Roma,0.0
Inter,Frosinone,1.0
Salernitana,Lazio,1.0
Atalanta,Napoli,2.0
Milan,Fiorentina,1.0
Cagliari,Monza,0.0
Frosinone,Genoa,1.0
Empoli,Sassuolo,2.0
Roma,Udinese,1.0
Juventus,Inter,0.0
Hellas Verona,Lecce,0.0
